Frame,Sub Frame,GM,SL
52,6,-0.00240326,-0.00736237
52,7,-0.000762939,-0.00747681
52,8,0.000419617,-0.00808716
52,9,-0.00110626,-0.00541687
53,0,-0.00244141,-0.00156403
53,1,-0.0037384,0.00183105
53,2,-0.00411987,0.00724792
53,3,-0.00415802,0.00831604
53,4,-0.00183105,0.00720978
53,5,0.000457764,0.00679016
53,6,-0.00137329,0.00675201
53,7,-0.00144958,0.00549316
53,8,0.000610352,0.00301361
53,9,0.00297546,0.000724792
54,0,0.00553131,0.000724792
54,1,0.00450134,7.62939e-05
54,2,0.00396729,-0.000610352
54,3,0.00545502,-0.000801086
54,4,0.00785828,0.000610352
54,5,0.00801086,0.00240326
54,6,0.0069046,0.00175476
54,7,0.0043869,0.000648499
54,8,0.00217438,0.000534058
54,9,-0.00144958,7.62939e-05
55,0,-0.00190735,0.000991821
55,1,0.00228882,0.00179291
55,2,0.00644684,0.000152588
55,3,0.0082016,-0.00331879
55,4,0.00911713,-0.0043869
55,5,0.00675201,-0.00408173
55,6,-0.000572205,0.000610352
55,7,-0.00431061,0.00339508
55,8,-0.00419617,0.00507355
55,9,-0.00175476,0.00328064
56,0,-0.000457764,0.00118256
56,1,-0.00217438,-0.000267029
56,2,-0.00221252,0.00106812
56,3,-0.000801086,-0.000495911
56,4,0.000801086,-0.00305176
56,5,0.000724792,-0.00255585
56,6,0.000152588,0.000495911
56,7,-0.00164032,-0.000343323
56,8,-0.00392914,-0.0019455
56,9,-0.00545502,-0.00133514
57,0,-0.00766754,0.00152588
57,1,-0.00747681,0.00328064
57,2,-0.00720978,0.00400543
57,3,-0.00694275,0.00270844
57,4,-0.00328064,0.0030899
57,5,-0.00205994,0.00267029
57,6,-0.000305176,0.0019455
57,7,-0.00038147,0.00488281
57,8,-0.00106812,0.00751495
57,9,-0.00366211,0.00656128
58,0,-0.00656128,0.00411987
58,1,-0.00602722,0.00274658
58,2,-0.00461578,0.00255585
58,3,-0.00175476,0.00236511
58,4,0.00404358,0.00305176
58,5,0.0101471,0.00610352
58,6,0.0128937,0.00743866
58,7,0.0102615,0.00415802
58,8,0.00518799,0.00118256
58,9,-0.000343323,-0.00087738
59,0,-0.00782013,-0.000724792
59,1,-0.00865936,-0.00137329
59,2,-0.00564575,-0.000801086
59,3,-0.00179291,-0.00244141
59,4,-0.000419617,-0.00457764
59,5,-0.00137329,-0.00667572
59,6,-0.00480652,-0.00827789
59,7,-0.00347137,-0.00896454
59,8,-0.00320435,-0.00675201
59,9,0.000152588,-0.0037384
60,0,-0.000610352,-0.00312805
60,1,-0.00209808,-0.00301361
60,2,-0.0031662,-0.00305176
60,3,-0.00305176,-0.00274658
60,4,-0.00141144,-0.00205994
60,5,0.00320435,-0.00213623
60,6,0.00919342,-0.00141144
60,7,0.0102997,-0.000839233
60,8,0.00621796,-0.000953674
60,9,0.00312805,0.000343323
61,0,-0.000534058,0.00408173
61,1,-0.00293732,0.00461578
61,2,-0.00377655,0.0044632
61,3,-0.00362396,0.00293732
61,4,0.000267029,0.000495911
61,5,0.00511169,-0.00164032
61,6,0.00480652,-0.00087738
61,7,0.00297546,0.00087738
61,8,0.00514984,0.00354767
61,9,0.00656128,0.00808716
62,0,0.0038147,0.0117111
62,1,0.00114441,0.0106049
62,2,0.00331879,0.00835419
62,3,0.0101471,0.00537872
62,4,0.0159454,0.00198364
62,5,0.014801,-0.000152588
62,6,0.00644684,0.000953674
62,7,-0.00209808,-0.00087738
62,8,-0.00404358,-0.00934601
62,9,-0.00301361,-0.00564575
63,0,-0.00282288,0.0107574
63,1,-0.000762939,0.0174332
63,2,3.8147e-05,0.00656128
63,3,-0.000839233,-0.0056076
63,4,0.00183105,-0.00301361
63,5,0.00534058,0.00263214
63,6,0.00392914,0.00679016
63,7,0.00179291,0.0056076
63,8,0.0018692,-0.0170898
63,9,0.000801086,-0.0396729
64,0,-3.8147e-05,-0.029335
64,1,-0.001297,-0.00934601
64,2,-0.000152588,-0.00286102
64,3,0.00232697,-0.0056076
64,4,0.00621796,-0.00675201
64,5,0.00892639,-0.00576019
64,6,0.00808716,-0.00484467
64,7,0.00713348,-0.00854492
64,8,0.00469208,-0.0127029
64,9,0.00221252,-0.0125122
65,0,-0.00179291,-0.00480652
65,1,-0.00202179,0.00576019
65,2,-0.00110626,0.00911713
65,3,-0.000152588,0.0062561
65,4,-0.00038147,0.00328064
65,5,-0.00255585,0.00244141
65,6,-0.00907898,0.0018692
65,7,-0.0117111,0.00236511
65,8,-0.0106049,0.0050354
65,9,-0.0108719,0.00782013
66,0,-0.0134659,0.00865936
66,1,-0.0124359,0.00785828
66,2,-0.0100327,0.00511169
66,3,-0.00663757,0.00389099
66,4,-0.00297546,0.00465393
66,5,-0.00244141,0.00610352
66,6,-0.0037384,0.00667572
66,7,-0.00637054,0.00576019
66,8,-0.00789642,0.00518799
66,9,-0.0121689,0.00240326
67,0,-0.0149155,0.000305176
67,1,-0.012207,0.00217438
67,2,-0.00751495,0.00507355
67,3,-0.00480652,0.00751495
67,4,-0.00286102,0.0102997
67,5,-0.00164032,0.00930786
67,6,-0.00343323,0.00770569
67,7,-0.00553131,0.00843048
67,8,-0.000839233,0.00976562
67,9,0.00183105,0.0106812
68,0,0.00434875,0.00667572
68,1,0.00415802,-0.00804901
68,2,0.00434875,-0.0223923
68,3,0.00347137,-0.0200653
68,4,0.00331879,-0.00659943
68,5,0.000686646,-0.000190735
68,6,0.00167847,-0.00408173
68,7,0.00999451,-0.0147629
68,8,0.0198364,-0.0248337
68,9,0.018692,-0.0219345
69,0,0.0108719,-0.0110245
69,1,0.00541687,-0.00202179
69,2,7.62939e-05,0.00202179
69,3,-0.00236511,0.00350952
69,4,0.000991821,0.0056076
69,5,0.00671387,0.0056839
69,6,0.0063324,0.00247955
69,7,0.00205994,0.0025177
69,8,0.0044632,0.00263214
69,9,0.00892639,0.0025177
70,0,0.0136185,0.00133514
70,1,0.0125885,-0.000801086
70,2,0.0120544,-0.0018692
70,3,0.0120163,-0.00278473
70,4,0.0124359,-0.00488281
70,5,0.0113678,-0.00564575
70,6,0.00900269,-0.00366211
70,7,0.0063324,-0.00221252
70,8,0.00480652,-0.000572205
70,9,0.00286102,0.000343323
71,0,-0.000495911,0.001297
71,1,-0.00450134,0.000457764
71,2,-0.00526428,0.000762939
71,3,-0.00236511,0.00244141
71,4,-0.00236511,0.00415802
71,5,-0.00694275,0.00545502
71,6,-0.014534,0.00701904
71,7,-0.0154495,0.00614166
71,8,-0.0122452,0.00598907
71,9,-0.00411987,0.0056839
72,0,-0.00434875,0.00396729
72,1,-0.00888824,0.00499725
72,2,-0.0123596,0.00640869
72,3,-0.0114822,0.0044632
72,4,-0.0056076,0.000610352
72,5,-0.00118256,0.000572205
72,6,-0.00198364,0.000953674
72,7,-0.00495911,0.00282288
72,8,-0.00556946,0.00411987
72,9,-0.00629425,0.0037384
73,0,-0.00663757,0.00278473
73,1,-0.00629425,0.00137329
73,2,-0.00553131,0.000419617
73,3,-0.00648499,-0.00118256
73,4,-0.0044632,-0.000572205
73,5,-0.00530243,-0.00198364
73,6,-0.0069809,-0.00484467
73,7,-0.00419617,-0.00473022
73,8,0.00282288,-0.00305176
73,9,0.0075531,-0.00125885
74,0,0.00743866,-0.00347137
74,1,0.00125885,-0.00396729
74,2,-0.000152588,-0.00507355
74,3,0.00396729,-0.0056839
74,4,0.00843048,-0.00282288
74,5,0.00865936,-0.000724792
74,6,0.00640869,-0.000724792
74,7,0.00553131,-0.00198364
74,8,0.00469208,-0.00312805
74,9,0.00629425,-0.00492096
75,0,0.00549316,-0.00286102
75,1,0.00366211,0.00038147
75,2,0.00389099,0.000724792
75,3,0.00244141,-7.62939e-05
75,4,0.000495911,0.00144958
75,5,-3.8147e-05,0.00293732
75,6,-0.00392914,0.00179291
75,7,-0.00965118,0.00228882
75,8,-0.0117874,0.00335693
75,9,-0.01091,0.00427246
76,0,-0.0101471,0.00476837
76,1,-0.00484467,0.00343323
76,2,0.00354767,0.00404358
76,3,0.00854492,0.00640869
76,4,0.00984192,0.00762939
76,5,0.00911713,0.0094223
76,6,0.00850677,0.0115204
76,7,0.00747681,0.0087738
76,8,0.00411987,0.00469208
76,9,-0.0019455,0.00362396
77,0,-0.00637054,0.00595093
77,1,-0.0105286,0.00759125
77,2,-0.00816345,0.00598907
77,3,-0.00530243,0.0019455
77,4,-0.000724792,0.000991821
77,5,0.00450134,0.00141144
77,6,0.00492096,-0.00102997
77,7,0.00228882,-0.00545502
77,8,0.00511169,-0.00736237
77,9,0.00831604,-0.00835419
78,0,0.0069809,-0.00839233
78,1,0.00717163,-0.00507355
78,2,0.0062561,0.00190735
78,3,0.00614166,0.00862122
78,4,0.00541687,0.00785828
78,5,0.00358582,-0.00183105
78,6,0.000801086,-0.00907898
78,7,0.00106812,-0.00591278
78,8,0.00854492,-0.00514984
78,9,0.0153732,-0.010376
79,0,0.0139999,-0.0176239
79,1,0.00782013,-0.0220871
79,2,0.00579834,-0.0239944
79,3,0.00480652,-0.02491
79,4,0.00370026,-0.0222015
79,5,0.00274658,-0.0185013
79,6,-0.00133514,-0.0131226
79,7,-0.00343323,-0.00988007
79,8,-0.00282288,-0.00724792
79,9,-0.00293732,-0.00537872
80,0,-0.0126648,-0.00366211
80,1,-0.0165558,-0.00137329
80,2,-0.0120163,0.00156403
80,3,0.00110626,0.00362396
80,4,0.00953674,0.00556946
80,5,0.00846863,0.00720978
80,6,0.00335693,0.0133896
80,7,0.000534058,0.023613
80,8,-0.000762939,0.0321198
80,9,-0.0107574,0.0275421
81,0,-0.0266266,0.0105286
81,1,-0.0337219,-0.00549316
81,2,-0.0263596,-0.00976562
